date;home;away;goal_h;goal_a;final_result;phase
19.06.18;Colombia;Japan;1;2;2;0
19.06.18;Poland;Senegal;1;2;2;0
24.06.18;Japan;Senegal;2;2;1;0
24.06.18;Poland;Colombia;0;3;2;0
28.06.18;Japan;Poland;0;1;2;0
28.06.1;Senegal;Colombia;0;1;2;0
18.06.18;Belgium;Panama;3;0;0;0
18.06.18;Tunisia;England;1;2;2;0
23.06.18;Belgium;Tunisia;5;2;0;0
24.06.18;England;Panama;6;1;0;0
28.06.18;England;Belgium;0;1;2;0
28.06.18;Panama;Tunisia;1;2;2;0
17.06.18;Germany;Mexico;0;1;2;0
18.06.18;Sweden;South Korea;1;0;0;0
23.06.18;South Korea;Mexico;1;2;2;0
23.06.18;Germany;Sweden;2;1;0;0
27.06.18;South Korea;Germany;2;0;0;0
27.06.18;Mexico;Sweden;0;3;2;0
17.06.18;Costa Rica;Serbia;0;1;2;0
17.06.18;Brazil;Switzerland;1;1;1;0
22.06.18;Brazil;Costa Rica;2;0;0;0
22.06.18;Serbia;Switzerland;1;2;2;0
27.06.18;Serbia;Brazil;0;2;2;0
27.06.18;Switzerland;Costa Rica;2;2;1;0
16.06.18;Argentina;Iceland;1;1;1;0
16.06.18;Croatia;Nigeria;2;0;0;0
21.06.18;Argentina;Croatia;0;3;2;0
22.06.18;Nigeria;Iceland;2;0;0;0
26.06.18;Nigeria;Argentina;1;2;2;0
26.06.18;Iceland;Croatia;1;2;2;0
16.06.18;France;Australia;2;1;0;0
16.06.18;Peru;Denmark;0;1;2;0
21.06.18;Denmark;Australia;1;1;1;0
21.06.18;France;Peru;1;0;0;0
26.06.18;Denmark;France;0;0;1;0
26.06.18;Australia;Peru;0;2;2;0
15.06.18;Morocco;Iran;0;1;2;0
15.06.18;Portugal;Spain;3;3;1;0
20.06.18;Portugal;Morocco;1;0;0;0
20.06.18;Iran;Spain;0;1;2;0
25.06.18;Iran;Portugal;1;1;1;0
25.06.18;Spain;Morocco;2;2;1;0
14.06.18;Russia;Saudi Arabia;5;0;0;0
15.06.18;Egypt;Uruguay;0;1;2;0
19.06.18;Russia;Egypt;3;1;0;0
20.06.18;Uruguay;Saudi Arabia;1;0;0;0
25.06.18;Uruguay;Russia;3;0;0;0
25.06.18;Saudi Arabia;Egypt;2;1;0;0
30.06.18;France;Argentina;4;3;0;1
30.06.18;Uruguay;Portugal;2;1;0;1
;Spain;Russia;1;1;1;1
;Croatia;Denmark;1;1;1;1
02.07.18;Brazil;Mexico;2;0;0;1
02.07.18;Belgium;Japan;3;2;0;1
03.07.18;Sweden;Switzerland;1;0;0;1
;Colombia;England;1;1;1;1
06.07.18;Uruguay;France;0;2;2;2
06.07.18;Brazil;Belgium;1;2;2;2
07.07.18;Sweden;England;0;2;2;2
;Russia;Croatia;2;2;1;2
10.07.18;France;Belgium;1;0;0;3
11.07.18;Croatia;England;2;1;0;3
15.07.18;France;Croatia;4;2;0;4