,home,away,phase,defense_rating,defense_weight,defense_height,defense_heading,defense_ball_skills,defense_physical,defense_defending,defense_finishing,midfielder_rating,midfielder_weight,midfielder_height,midfielder_heading,midfielder_ball_skills,midfielder_physical,midfielder_defending,midfielder_finishing,attacker_rating,attacker_weight,attacker_height,attacker_heading,attacker_ball_skills,attacker_physical,attacker_defending,attacker_finishing,goalkeeper_rating
0,Turkey,Italy,0.0,-6,-1,-1,-2,-4,4,-6,-12,-7,0,-4,-2,-8,4,-10,-2,-4,4,7,-5,1,-6,3,-3,-8
1,Wales,Switzerland,0.0,-4,-7,-1,-3,-7,-6,-5,-13,-4,-8,-7,-2,-3,2,-5,-2,-6,-7,-2,-7,-3,0,-2,-7,-11
2,Denmark,Finland,0.0,9,3,4,3,9,2,8,6,10,-2,-2,8,10,9,10,12,4,1,3,8,7,0,1,5,1
3,Belgium,Russia,0.0,5,3,2,6,3,-4,6,3,4,0,-3,6,6,2,-1,7,6,-2,-5,2,7,6,3,8,14
4,England,Croatia,0.0,5,0,2,3,8,-1,5,7,-2,-1,2,-2,-5,1,2,-7,5,-4,-5,-1,7,2,2,1,0
5,Austria,North Macedonia,0.0,8,9,4,3,5,0,9,8,5,5,1,4,5,2,10,-1,8,1,3,2,8,5,8,1,4
6,Netherlands,Ukraine,0.0,6,1,-1,6,12,3,7,9,3,-3,3,12,3,2,7,2,14,2,-1,6,14,8,8,17,3
7,Scotland,Czech Republic,0.0,-3,-1,3,-5,-8,-6,-3,-8,0,-2,-4,-6,1,2,0,2,-4,-5,-6,7,-10,7,0,-4,-10
8,Poland,Slovakia,0.0,-1,1,0,1,0,-1,-2,3,-1,1,1,-2,-4,5,-1,-5,5,1,-2,5,-3,1,-3,5,4
9,Spain,Sweden,0.0,8,-3,-6,10,9,13,5,2,9,-2,-1,6,9,4,3,6,3,2,-2,1,3,4,1,2,10
10,Hungary,Portugal,0.0,-10,3,0,-3,-11,-5,-10,-8,-11,0,0,-5,-12,7,-17,-12,-14,7,0,-11,-16,-15,-11,-13,1
11,France,Germany,0.0,1,-10,-6,8,1,5,1,1,-1,2,-1,4,-2,3,1,-1,5,0,-1,4,4,1,3,6,-2
12,Finland,Russia,0.0,-8,0,0,-2,-9,-8,-7,-7,-8,4,2,-3,-8,-12,-4,-8,-6,-3,-6,-2,-11,1,-4,-6,8
13,Turkey,Wales,0.0,4,5,-1,3,4,4,5,6,0,3,2,1,0,-1,-1,1,6,1,2,0,6,-1,2,8,2
14,Italy,Switzerland,0.0,6,-1,-1,2,1,-6,6,5,3,-5,-1,1,5,-3,4,1,4,-10,-7,-2,2,5,-3,4,-1
15,Ukraine,North Macedonia,0.0,5,3,3,2,0,4,4,-1,3,4,0,1,4,1,3,1,0,1,-1,3,-5,4,2,-8,5
16,Denmark,Belgium,0.0,-4,0,2,-5,-3,-2,-5,-4,-2,2,3,-1,-4,-5,7,-3,-8,0,2,4,-11,-5,-6,-9,-5
17,Netherlands,Austria,0.0,3,-5,-2,5,7,7,2,0,1,-4,2,9,2,1,0,4,6,2,-5,7,1,7,2,8,4
18,Sweden,Slovakia,0.0,0,1,1,-6,3,-8,1,7,0,1,3,-5,0,-4,5,-2,5,-3,-1,0,5,3,-1,5,-5
19,Croatia,Czech Republic,0.0,1,1,2,-3,-1,-2,0,-4,4,-1,-1,-4,6,-2,0,5,5,-2,-4,3,5,11,5,6,-1
20,England,Scotland,0.0,9,2,1,5,15,3,8,11,2,0,5,0,0,-3,2,-4,14,-1,-3,-5,22,6,7,11,9
21,Hungary,France,0.0,-12,0,0,-7,-15,-6,-12,-10,-14,-4,-2,-12,-14,-5,-17,-15,-15,2,-2,-13,-15,-12,-7,-13,-2
22,Portugal,Germany,0.0,-1,-13,-6,4,-3,4,-1,-1,-4,-2,-3,-3,-4,-9,1,-4,4,-5,-3,2,5,4,7,6,-5
23,Spain,Poland,0.0,9,-3,-5,3,12,6,8,6,10,-2,1,3,13,-5,9,9,3,-2,-1,-4,11,6,3,2,1
24,Italy,Wales,0.0,10,6,0,5,8,0,11,18,7,3,6,3,8,-5,9,3,10,-3,-5,5,5,5,-1,11,10
25,Switzerland,Turkey,0.0,0,2,2,0,3,2,0,7,4,5,5,1,3,-1,6,1,0,6,0,7,-3,1,0,-1,9
26,Ukraine,Austria,0.0,-3,-6,-1,-1,-5,4,-5,-9,-2,-1,-1,-3,-1,-1,-7,2,-8,0,-4,1,-13,-1,-6,-9,1
27,North Macedonia,Netherlands,0.0,-11,-4,-2,-8,-12,-7,-11,-8,-6,-1,-3,-13,-7,-3,-10,-3,-14,-3,2,-9,-9,-12,-10,-9,-8
28,Russia,Denmark,0.0,-1,-3,-4,-1,0,6,-1,1,-2,-2,0,-5,-2,3,-6,-4,2,2,3,-6,4,-1,3,1,-9
29,Finland,Belgium,0.0,-13,-3,-2,-8,-12,-4,-13,-10,-12,4,5,-9,-14,-14,-3,-15,-12,-1,-1,-4,-18,-5,-7,-14,-6
30,Croatia,Scotland,0.0,4,2,-1,2,7,4,3,4,4,1,3,2,5,-4,0,3,9,3,2,-4,15,4,5,10,9
31,Czech Republic,England,0.0,-6,-1,-4,0,-7,3,-5,-3,-2,2,-1,6,-1,1,-2,2,-10,6,9,-2,-12,-13,-7,-7,1
32,Sweden,Poland,0.0,1,0,1,-7,3,-7,3,4,1,0,2,-3,4,-9,6,3,0,-4,1,-5,8,2,2,0,-9
33,Slovakia,Spain,0.0,-8,2,5,-4,-12,-5,-6,-9,-9,1,-2,-1,-9,0,-8,-4,-8,1,3,-1,-8,-7,0,-7,-5
34,Portugal,France,0.0,-2,-3,0,-4,-4,-1,-2,-2,-3,-4,-2,-7,-2,-12,0,-3,-1,-5,-2,-2,1,3,4,0,-3
35,Germany,Hungary,0.0,11,10,6,-1,14,1,11,9,15,2,3,8,16,2,16,16,10,-2,3,9,11,11,4,7,4
