current_rating,potential_rating,height,weight,weak_foot,skill_moves,wage,ball_control,dribbling,marking,slide_tackle,stand_tackle,aggression,reactions,att_position,interceptions,vision,composure,crossing,short_pass,long_pass,acceleration,stamina,strength,balance,sprint_speed,agility,jumping,heading,shot_power,finishing,long_shots,curve,fk_acc,penalties,volleys,gk_positioning,gk_diving,gk_handling,gk_kicking,gk_reflexes,nationality,country
7588461538,7880769231,1848076923,7926923077,3192307692,2576923077,2995769231,6646153846,6273076923,6011538462,5876923077,6119230769,6565384615,7442307692,5911538462,5973076923,6311538462,6823076923,5942307692,6861538462,6453846154,6473076923,6988461538,7192307692,6419230769,6615384615,6353846154,6323076923,6007692308,6680769231,5330769231,5665384615,5469230769,5230769231,5226923077,5261538462,1811538462,1776923077,1746153846,1676923077,1830769231,Austria,Austria
8046153846,8219230769,1841923077,7969230769,3653846154,3038461538,8170769231,7257692308,6888461538,5261538462,4961538462,5330769231,6315384615,7773076923,6480769231,5234615385,6861538462,7726923077,6496153846,7307692308,67,6903846154,7042307692,7307692308,64,7034615385,6934615385,7084615385,6165384615,7442307692,6119230769,6338461538,6392307692,5784615385,61,5946153846,1888461538,1830769231,175,1815384615,1861538462,Belgium,Belgium
7724,806,18348,7792,364,292,45732,7004,668,5556,532,5716,6664,7304,5924,5428,6568,726,6164,7024,6472,704,714,7072,6592,7048,688,6676,5896,6992,5488,572,5824,5236,5652,5428,1844,1784,1832,1664,184,Croatia,Croatia
75,7791666667,1835,7766666667,3375,275,2020416667,6854166667,6604166667,575,5508333333,5679166667,67125,7254166667,6158333333,56375,6425,6945833333,6066666667,6770833333,62875,6916666667,7233333333,7366666667,6691666667,70,6704166667,7104166667,64375,6841666667,545,5966666667,5704166667,48125,54625,5445833333,1725,1566666667,1708333333,1520833333,1741666667,Czech Republic,Czech Republic
7538461538,7846153846,1858076923,8011538462,3269230769,2730769231,3846923077,6726923077,6219230769,5576923077,4884615385,5403846154,6411538462,7315384615,595,5376923077,6615384615,6934615385,565,6915384615,6415384615,6576923077,7065384615,7146153846,6423076923,6738461538,6342307692,6915384615,6192307692,7073076923,565,5757692308,5715384615,5273076923,5380769231,5246153846,1796153846,1811538462,1807692308,1838461538,1830769231,Denmark,Denmark
8026923077,8546153846,1831923077,7626923077,3307692308,2884615385,8109615385,7365384615,69,5938461538,5638461538,6065384615,6657692308,79,6292307692,5815384615,7042307692,7430769231,6442307692,7357692308,6930769231,7084615385,7530769231,7123076923,675,7069230769,6980769231,6961538462,5942307692,6934615385,5419230769,5646153846,6092307692,5261538462,5461538462,5096153846,1730769231,1776923077,1861538462,1838461538,1884615385,England,England
6838461538,7176923077,1851538462,7965384615,2884615385,2346153846,99,5876923077,5461538462,5134615385,4784615385,51,6057692308,6565384615,5076923077,5138461538,5707692308,6184615385,5019230769,5992307692,5596153846,6253846154,6669230769,70,5892307692,6323076923,5996153846,6426923077,5342307692,6426923077,4734615385,4980769231,4919230769,4176923077,4461538462,4230769231,1780769231,1757692308,1823076923,1611538462,1765384615,Finland,Finland
8307692308,8565384615,1831923077,7896153846,3192307692,2923076923,1044038462,7503846154,69,5938461538,5611538462,5857692308,6696153846,8269230769,6423076923,6103846154,6996153846,7788461538,6403846154,7546153846,6923076923,7319230769,7223076923,7407692308,6726923077,7434615385,7107692308,785,6653846154,7230769231,5857692308,5953846154,6284615385,5373076923,5880769231,5946153846,1715384615,1853846154,1796153846,1742307692,1942307692,France,France
8230769231,8515384615,1853461538,8153846154,3538461538,2730769231,8203076923,7353846154,6834615385,5965384615,5653846154,6030769231,6488461538,8215384615,6403846154,6184615385,7219230769,7634615385,6519230769,7546153846,6984615385,6957692308,7388461538,7438461538,65,7303846154,6746153846,6865384615,6388461538,7411538462,5926923077,6161538462,6065384615,525,5480769231,5746153846,1838461538,1834615385,1865384615,1873076923,1976923077,Germany,Germany
70,7304347826,1826521739,7830434783,3434782609,2434782609,211375,5952173913,5473913043,4769565217,4573913043,4830434783,5965217391,6834782609,5217391304,4969565217,5304347826,6269565217,5356521739,6047826087,5308695652,6617391304,63,647826087,6252173913,6482608696,6195652174,6360869565,5456521739,5908695652,48,4895652174,4534782609,4239130435,5086956522,4413043478,1891304348,1969565217,1826086957,1808695652,1904347826,Hungary,Hungary
80,8326923077,1823076923,7565384615,3192307692,2846153846,5983076923,7134615385,6888461538,6219230769,5734615385,5896153846,6707692308,7807692308,6019230769,6023076923,6669230769,7542307692,5846153846,7123076923,6538461538,6823076923,6857692308,6580769231,6707692308,6780769231,685,6719230769,6142307692,7192307692,5565384615,6215384615,5919230769,5503846154,6176923077,5669230769,1861538462,1796153846,1653846154,17,1769230769,Italy,Italy
7896,8244,18376,7692,32,284,43072,7212,6636,5796,544,5824,6808,7824,6124,5868,6776,7544,6224,72,664,6956,7388,736,6592,7016,6908,7472,648,714,5804,5972,5872,514,576,55,1896,184,1776,158,1864,Netherlands,Netherlands
6942857143,7321428571,1821428571,7407142857,3071428571,2642857143,121,6485714286,65,4735714286,4628571429,4878571429,5907142857,6507142857,5864285714,4607142857,62,6435714286,5371428571,63,60,6407142857,6321428571,64,6557142857,6292857143,6585714286,6078571429,5607142857,655,5714285714,58,5814285714,52,5542857143,5121428571,1514285714,15,1457142857,1471428571,1492857143,North Macedonia,North Macedonia
7348,7852,18376,778,308,252,2938333333,6324,5992,52,4856,5296,6292,7044,5672,5404,5936,662,5252,6412,5836,7004,6944,702,6556,702,664,6936,5568,6336,5248,516,5212,4216,50,4572,184,2044,1936,1736,1884,Poland,Poland
8138461538,8492307692,1813076923,7515384615,3423076923,3192307692,65888,7307692308,7069230769,5834615385,5373076923,5946153846,69,7976923077,6446153846,6192307692,7123076923,7896153846,6296153846,7296153846,6830769231,6923076923,7534615385,69,6965384615,6838461538,715,7057692308,5896153846,7488461538,5884615385,6223076923,6346153846,5453846154,5815384615,5838461538,19,1838461538,1853846154,1869230769,1938461538,Portugal,Portugal
7490909091,7813636364,1845454545,7840909091,2954545455,2590909091,1607142857,6754545455,6631818182,5627272727,5595454545,5745454545,6436363636,7172727273,5959090909,5709090909,6395454545,6804545455,5977272727,6990909091,6472727273,6904545455,7168181818,6890909091,6372727273,6959090909,6513636364,6568181818,5677272727,6818181818,5504545455,5763636364,5559090909,5495454545,55,5081818182,1672727273,1745454545,1604545455,1672727273,1713636364,Russia,Russia
725,7669230769,1818846154,7557692308,3115384615,25,3134166667,6346153846,6057692308,5703846154,5546153846,5838461538,6823076923,6826923077,5465384615,5615384615,5996153846,6726923077,55,6376923077,6019230769,6907692308,7215384615,7034615385,6953846154,6896153846,6796153846,6988461538,5423076923,6280769231,5034615385,5319230769,5407692308,4619230769,5011538462,4426923077,1703846154,1738461538,1707692308,1665384615,1757692308,Scotland,Scotland
73125,77375,183875,7666666667,3333333333,2583333333,2345,6520833333,6133333333,5454166667,5429166667,5670833333,6079166667,6941666667,5366666667,5491666667,6004166667,6683333333,5554166667,6583333333,60125,6654166667,6875,6816666667,65625,6416666667,6716666667,6995833333,5570833333,625,4983333333,5145833333,5233333333,4645833333,5191666667,48625,19125,1945833333,1854166667,1870833333,1933333333,Slovakia,Slovakia
8066666667,8529166667,1829166667,7595833333,3291666667,2916666667,8130526316,7429166667,69375,5883333333,5641666667,5866666667,62375,7833333333,6304166667,5945833333,7079166667,7543478261,6325,74375,6954166667,7016666667,71875,6891666667,6754166667,6891666667,7070833333,67,5975,6729166667,5829166667,5779166667,6225,51625,5479166667,5241666667,1883333333,2004166667,1779166667,1745833333,18875,Spain,Spain
7415384615,7661538462,1853846154,7746153846,2923076923,2730769231,2237826087,6688461538,6273076923,5526923077,5234615385,5411538462,6496153846,7238461538,5538461538,5546153846,6461538462,6961538462,5626923077,6838461538,6288461538,6223076923,695,72,6057692308,6280769231,6438461538,6242307692,5580769231,6734615385,51,5569230769,5861538462,4942307692,5265384615,4992307692,1792307692,1753846154,1623076923,1811538462,1738461538,Sweden,Sweden
7551851852,7959259259,183962963,7988888889,3481481481,2592592593,2905185185,6837037037,6455555556,5788888889,5659259259,5992592593,6344444444,7288888889,5903703704,5977777778,6485185185,6759259259,6048148148,682962963,6322222222,6962962963,7077777778,7385185185,6574074074,7225925926,6766666667,712962963,5985185185,7003703704,5192592593,5655555556,5618518519,5148148148,5277777778,4977777778,1796296296,1874074074,1851851852,1714814815,1888888889,Switzerland,Switzerland
7411538462,8023076923,1829230769,7646153846,3230769231,2653846154,2481153846,6711538462,6526923077,5219230769,5042307692,5353846154,6296153846,6961538462,5680769231,5146153846,6203846154,6715384615,5665384615,6711538462,6061538462,6896153846,6773076923,68,6657692308,6853846154,685,6476923077,5626923077,6830769231,5165384615,5692307692,575,4953846154,5123076923,5123076923,1746153846,1757692308,1826923077,1707692308,1815384615,Turkey,Turkey
7253846154,7803846154,1835384615,7776923077,2961538462,2615384615,2013888889,6261538462,5934615385,5246153846,4876923077,5234615385,5807692308,7026923077,5592307692,5353846154,5946153846,6492307692,5546153846,6642307692,5773076923,6611538462,6615384615,6761538462,6261538462,6726923077,6323076923,6288461538,5576923077,6415384615,5111538462,5469230769,4888461538,4692307692,4915384615,435,1796153846,1715384615,1684615385,1803846154,1834615385,Ukraine,Ukraine
7084615385,7765384615,1817307692,7411538462,3076923077,2461538462,316173913,6284615385,5907692308,5146153846,5084615385,5465384615,5892307692,6834615385,5192307692,5323076923,5826923077,6434615385,5411538462,6373076923,5853846154,6819230769,6846153846,6476923077,6834615385,6753846154,6626923077,6334615385,5169230769,5911538462,4684615385,4692307692,5065384615,4284615385,5026923077,4338461538,1746153846,1719230769,18,1703846154,1738461538,Wales,Wales
